Tarih,Tür,Sembol,İşlem Tipi,Birim Fiyat (₺),Adet,Toplam (₺)
"29.05.2026","Nasdaq","VPG","Alış","124.49","0.803","99.97"
"26.05.2026","Nasdaq","NVST","Alış","23.63","8.465","200.03"
"25.05.2026","Nasdaq","SIRI","Alış","29.08","6.877","199.98"
"06.05.2026","Nasdaq","AAOI","Alış","179.00","1.117","199.94"
"30.04.2026","Döviz","USD/TRY","Satış","45.00","680","30600.00"
"29.04.2026","Nasdaq","LPK.F","Alış","18.85","9","169.65"
"27.04.2026","Nasdaq","SIVE.ST","Alış","4.12","52","214.49"
"24.04.2026","Nasdaq","POET","Alış","15.00","7","105.00"
"22.04.2026","Fon","GTL","Alış","0.12","796487","94495.22"
"17.04.2026","Nasdaq","ORCL","Alış","179.32","0.557","99.88"
"17.04.2026","Fon","PPS","Satış","4.34","21211","92013.32"
"16.04.2026","Nasdaq","SIVE.ST","Alış","2.26","37","83.46"
"13.04.2026","Nasdaq","OUST","Alış","23.02","4.344","100.00"
"13.04.2026","Nasdaq","ANET","Alış","154.38","0.64778","100.00"
"07.04.2026","Fon","TLY","Alış","4817.00","10","48170.00"
"02.04.2026","Fon","PPS","Alış","4.71","21211","99997.14"
"01.04.2026","Nasdaq","SOFI","Alış","16.15","9.287","149.99"
"01.04.2026","Fon","GTL","Satış","0.12","949127","110000.02"
"23.03.2026","Fon","GTL","Alış","0.12","998322","114807.03"
"23.03.2026","Fon","GTL","Satış","0.12","2458880","282771.20"
"20.03.2026","Döviz","XAG/TRY","Alış","109.00","92","10028.00"
"19.03.2026","Döviz","XAG/TRY","Alış","104.00","143.71","14945.84"
"16.03.2026","Döviz","XAG/TRY","Alış","116.00","85.98","9973.68"
"13.03.2026","Döviz","XAG/TRY","Alış","120.00","83.13","9975.60"
"12.03.2026","Fon","TLY","Alış","4308.70","23","99100.10"
"11.03.2026","Döviz","XAG/TRY","Alış","124.50","160","19920.00"
"06.03.2026","Fon","GTL","Alış","0.11","1175376","133381.67"
"06.03.2026","Fon","TP2","Alış","1.75","44595","77996.66"
"06.03.2026","Fon","TRJ","Satış","1.72","78905","135628.23"
"05.03.2026","Fon","IJZ","Satış","9.32","9114","84909.67"
"04.03.2026","Fon","GTL","Alış","0.11","539899","60999.95"
"19.02.2026","Nasdaq","CAT","Satış","746.44","0.25","186.61"
"13.02.2026","Fon","GTL","Alış","0.11","743605","82500.00"
"13.02.2026","Fon","PHE","Alış","2.06","43659","89994.30"
"13.02.2026","Fon","AK2","Satış","0.51","164551","84546.30"
"13.02.2026","Nasdaq","INTC","Alış","47.41","3.1639","150.00"
"11.02.2026","Fon","AFT","Satış","0.82","59844","48916.49"
"06.02.2026","Döviz","BTC/TRY","Alış","2792557.00","0.00178331","4979.99"
"06.02.2026","Nasdaq","PPLT","Alış","191.00","1.04","198.64"
"05.02.2026","Döviz","XAG/TRY","Alış","112.00","44.55","4989.60"
"05.02.2026","Döviz","BTC/TRY","Alış","2994062.00","0.00166329","4979.99"
