Tarih,Tür,Sembol,İşlem Tipi,Birim Fiyat (₺),Adet,Toplam (₺)
"01.07.2026","Döviz","ALTIN","Alış","6010.6800","0.550000","3305.87"
"01.07.2026","Döviz","ALTIN","Alış","6012.0000","11.960000","71903.52"
"29.06.2026","Fon","PHE","Satış","3.6924","16640.000000","61441.64"
"29.06.2026","Döviz","ALTIN","Alış","6109.4200","10.020000","61216.39"
"10.06.2026","Fon","KPI","Satış","1.3642","36651.000000","49999.48"
"10.06.2026","Döviz","ALTIN","Alış","6198.7400","39.760000","246461.90"
"10.06.2026","Fon","KPI","Satış","1.3642","146605.000000","199999.27"
"31.05.2026","Fon","KPI","Satış","1.3513","59055.000000","79799.60"
"25.05.2026","Fon","KPI","Alış","1.3414","104370.000000","139998.89"
"22.05.2026","Fon","TI1","Satış","1512.5039","4.000000","6050.02"
"04.05.2026","Fon","KPI","Alış","1.3125","103616.000000","135999.73"
"31.03.2026","Fon","RIK","Alış","5.1214","19526.000000","99999.99"
"31.03.2026","Fon","AFT","Alış","0.7969","62744.000000","49999.88"
"31.03.2026","Fon","KPI","Alış","1.2681","234223.000000","297024.04"
"30.03.2026","BIST","AKBNK","Alış","66.4500","73.000000","4850.85"
"24.03.2026","Fon","AK2","Satış","0.4848","63344.000000","30707.46"
"24.03.2026","Döviz","ALTIN","Alış","6359.0900","4.700000","29887.72"
"23.03.2026","Döviz","XAG/TRY","Alış","89.9700","332.770000","29939.32"
"23.03.2026","Döviz","ALTIN","Alış","5918.5400","12.640000","74810.35"
"23.03.2026","Fon","TI1","Satış","1420.8300","53.000000","75303.99"
"23.03.2026","Fon","TI1","Satış","1420.8300","22.000000","31258.26"
"21.03.2026","Döviz","EUR/TRY","Satış","51.2500","100.000000","5125.00"
"13.03.2026","BIST","PGSUS","Alış","176.4000","283.000000","49921.20"
"13.03.2026","Fon","TI1","Satış","1406.7270","36.000000","50642.17"
"12.03.2026","Fon","TI1","Satış","1405.3600","4.000000","5621.44"
"09.03.2026","BIST","AKBNK","Alış","69.9500","1070.000000","74846.50"
"09.03.2026","Fon","TI1","Satış","1401.7371","54.000000","75693.80"
"03.03.2026","Fon","TI1","Satış","1394.4400","22.000000","30677.68"
"03.03.2026","BIST","AKBNK","Alış","79.0500","382.000000","30197.10"
"02.03.2026","BIST","TTRAK","Alış","497.2500","101.000000","50222.25"
"02.03.2026","Fon","TI1","Satış","1393.1391","18.000000","25076.50"
"02.03.2026","BIST","AKBNK","Alış","82.5500","302.000000","24930.10"
"02.03.2026","BIST","PGSUS","Alış","184.1000","162.000000","29824.20"
"02.03.2026","Fon","TI1","Satış","1393.1390","22.000000","30649.06"
"02.03.2026","Fon","TI1","Satış","1393.1390","36.000000","50153.00"
"27.02.2026","Fon","TI1","Alış","1389.0360","92.000000","127791.31"
"26.02.2026","Fon","TI1","Alış","1387.6900","43.000000","59670.67"
"23.02.2026","BIST","AKBNK","Satış","90.6500","661.000000","59919.65"
"03.02.2026","Fon","PHE","Alış","1.8959","16640.000000","31547.78"
"03.02.2026","Fon","RIK","Alış","5.3632","9322.000000","49995.35"
"02.02.2026","Fon","TI1","Alış","1356.3148","26.000000","35264.19"
"30.01.2026","Döviz","XPT/TRY","Alış","3104.9020","3.530000","10960.30"
"30.01.2026","Döviz","XPT/TRY","Alış","3297.3580","10.590000","34919.02"
"30.01.2026","Döviz","ALTIN","Alış","7169.2700","2.000000","14338.54"
"30.01.2026","Döviz","XAG/TRY","Alış","116.7054","94.060000","10977.31"
"30.01.2026","Döviz","XAG/TRY","Alış","142.5910","244.960000","34929.09"
"29.01.2026","Döviz","XAG/TRY","Alış","161.1925","124.070000","19999.15"
"29.01.2026","Fon","TI1","Satış","1351.2390","15.000000","20268.58"
"28.01.2026","Fon","RIK","Alış","5.2750","21790.000000","114942.25"
"27.01.2026","Fon","IHT","Satış","3.4110","33699.000000","114946.28"
"16.01.2026","Döviz","EUR/TRY","Alış","50.1700","1279.000000","64167.43"
"16.01.2026","Döviz","USD/TRY","Alış","43.2700","0.220000","9.52"
"16.01.2026","Döviz","GBP/TRY","Alış","57.8800","290.000000","16785.20"
"02.01.2026","Fon","PIL","Alış","3.1107","10325.000000","32117.98"
"31.12.2025","Döviz","XPT/TRY","Alış","2827.1700","7.060000","19959.82"
"09.12.2025","Fon","AK2","Alış","0.4810","63344.000000","30468.46"
"29.11.2025","Döviz","XPT/TRY","Alış","3061.5800","8.140000","24921.26"
"28.11.2025","Fon","TI1","Alış","1267.3140","47.000000","59563.76"
"21.11.2025","Döviz","XPT/TRY","Alış","2082.1300","25.540000","53177.60"
"14.11.2025","BIST","TTRAK","Alış","739.5010","2.000000","1479.00"
"11.11.2025","Fon","AOY","Alış","0.2982","83831.000000","24998.40"
"11.11.2025","Fon","AFT","Alış","0.8338","59964.000000","49997.98"
"10.11.2025","Fon","TI1","Alış","1244.1000","60.000000","74646.00"
"03.11.2025","Fon","IOG","Alış","9.5980","1562.000000","14992.08"
"31.10.2025","Fon","TI1","Alış","1230.8980","14.000000","17232.57"
